Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
Carrot Cake w/Donut Sugar,130,5.3g,1.5g,0g,0mg,130.5mg,20.6g,0.1g,12.5g,1.1g
Carrot Kale Salad,46,3.2g,0.5g,0g,0mg,102.7mg,4.4g,1.3g,2.9g,0.8g
Carrot Tzimmes,67,0g,0g,0g,0mg,92.9mg,16.7g,2.4g,13.9g,0.9g
Carrots,5,0g,0g,0g,0mg,10.9mg,1.3g,0.4g,0.9g,0.2g
Carrots Sticks,5,0g,0g,0g,0mg,10.9mg,1.3g,0.4g,0.9g,0.2g
Cauliflower & Chickpea Gyro,71,3g,0.4g,0g,0mg,257.4mg,9.3g,2.3g,2.2g,3.1g
Cauliflower & Potato Curry,43,1.7g,0g,0g,0mg,263.7mg,6.8g,1.7g,1.7g,0.9g
Cauliflower Kelp Tempura,92,4.1g,0.3g,0g,0mg,76.8mg,13g,0.5g,0.4g,1.7g
"Cauliflower w/Peppers, Pumpkin Seeds & Chives",75,5.5g,0.9g,0g,0mg,104.7mg,5.2g,1.8g,1.9g,2.3g
Cavatappi Pasta,140,0.7g,0g,0g,0mg,0mg,29.5g,1.5g,0.7g,5.9g
"Cavatappi w/Red Pepper Pesto, Green Pea & Mushroom",115,3.3g,1g,0g,0mg,255.3mg,18.1g,1.3g,1.2g,4.7g
Cavatappi w/Tomato Cream & Spinach,148,6.8g,3.7g,0.2g,18.9mg,116.1mg,18.8g,1.1g,1.8g,4.5g
Celery Sticks,9,0.1g,0g,0g,0mg,45.4mg,1.7g,0.9g,0.8g,0.4g
Celery Sticks,2,0g,0g,0g,0mg,10.3mg,0.4g,0.2g,0.2g,0.1g
"Chana Dal, Baby Spinach, Toasted Cumin",176,4.8g,0.2g,0g,0mg,299.8mg,24.8g,4.4g,2.3g,8.1g
"Chana Dal, Tomato & Cumin Spinach",146,3.6g,0.2g,0g,0mg,48.4mg,20.7g,3.9g,1.7g,7.1g
Chana Masala,110,2.4g,0.1g,0g,0mg,166.1mg,17.1g,3.3g,3.4g,5.2g
Chana Masala Cauliflower Soup,19,0.7g,0.6g,0g,0mg,77.4mg,2.7g,0.5g,0.5g,0.4g
Chana Masala Cauliflower Soup,94,3.7g,3.1g,0g,0mg,387.2mg,13.7g,2.5g,2.5g,1.9g
Channa Masala,85,2.1g,0g,0g,0mg,187.1mg,12.8g,3.4g,2.6g,4.3g
Chap Che Noodles,135,6.4g,0.8g,0g,0mg,227.2mg,18.2g,0.7g,6.4g,1.3g
Chapati,97,3.9g,2.2g,0g,5.1mg,105mg,12g,1g,1g,2g
Charmoula Zucchini & Summer Squash,49,3.7g,0.3g,0g,0mg,75.8mg,4.1g,1.2g,2.1g,0.8g
Cheddar Cheese,115,9.4g,5.3g,0.3g,28.1mg,185.1mg,0.9g,0g,0.1g,6.5g
Cheese,54,4.6g,2.8g,0g,7mg,307.1mg,0.4g,0.2g,0.1g,3.5g
Cheese Cheddar Shredded,115,9.4g,5.3g,0.3g,28.1mg,185.1mg,0.9g,0g,0.1g,6.5g
Cheese Danish,151,9.1g,5g,0g,35.3mg,171.4mg,15.1g,0g,5g,3g
Cheese Feta,78,6.5g,4.6g,0g,0mg,623.7mg,0.2g,,0.2g,4.7g
Cheese Pizza,204,5.4g,2.7g,0.1g,14.7mg,471.9mg,29.6g,1.3g,1g,8.3g
Cheese Pizza w/Cauliflower Crust,215,9.3g,5.8g,0.3g,31.2mg,479.1mg,23g,1g,2.2g,9.3g
Cheese Quesadilla,632,41.8g,22.8g,0g,121.5mg,1148mg,33.9g,2g,0.3g,33.4g
Cheese Ravioli w/Carbonara Cream (Bacon),647,29.9g,16.5g,0.4g,131.9mg,642.3mg,71.6g,2.6g,6g,23.9g
Cheese Ravioli w/Pepper Cream & Pesto,505,23.6g,11.3g,0.3g,98.1mg,451mg,54.4g,2g,6.1g,19.1g
Cheese Rigatoni w/Plant Based Nasoya Bolognese Sauce,185,5.6g,3.1g,0g,19.7mg,234.1mg,25.5g,2g,2.8g,8.8g
"Cheesy White Bean, Zucchini & Tomato Bake",135,8.1g,2.3g,0g,0mg,188.7mg,13.1g,4.1g,1.5g,3.3g
Chermoula Roasted Chicken,127,9.5g,2.3g,0g,29.8mg,408mg,2.4g,0.8g,0.5g,7.9g
